,wikidata,country,bathwateridentifier,status,eionet
819,Q106708810,se,SE0930882000001951,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001951
820,Q106708806,se,SE0930834000001947,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001947
821,Q106708814,se,SE0930882000001954,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001954
822,Q106708815,se,SE0930882000001955,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001955
823,Q106708808,se,SE0930882000001949,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001949
824,Q106708809,se,SE0930882000001950,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001950
825,Q106708813,se,SE0930882000001953,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001953
826,Q106708816,se,SE0930882000001956,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001956
827,Q106708819,se,SE0930882000001963,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001963
828,Q106708820,se,SE0930882000001964,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001964
829,Q106708821,se,SE0930882000001965,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001965
830,Q106708812,se,SE0930882000001952,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001952
831,Q106708817,se,SE0930882000001957,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001957
832,Q106708824,se,SE0910642000001969,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001969
833,Q106708825,se,SE0910642000001970,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001970
834,Q106708826,se,SE0910642000001971,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001971
835,Q106708818,se,SE0930882000001958,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001958
836,Q106708827,se,SE0910642000001976,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001976
837,Q106708828,se,SE0910642000001977,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001977
838,Q106708822,se,SE0930882000001967,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001967
839,Q106708829,se,SE0110115000001985,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110115000001985
840,Q106708833,se,SE0110115000001995,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110115000001995
841,Q106708823,se,SE0930882000001968,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001968
